Code,latlng,place,name,lyric,artist,lyrics,year
,"22.502926298385674, 114.2375649763124",新娘潭,新娘潭畔,-,鄭子固,韋然,1982
,"22.50297639771999, 114.23739303296733",新娘潭,新娘潭畔 ,新娘潭水的倒影 新娘潭水深有幾許 新浪潭她深愛過,陳緯和,韋然,1982
,"22.23913207765764, 114.19577621829431",淺水灣露台餐廳,因講了出來,你有冇去過淺水灣呢間露台餐廳？,My Little Airport,,
,"22.340918564598415, 114.19572467848954",黃大仙,20GB,第一張相喺黃大仙開始,My Little Airport,,
,"22.34221617818785, 114.19375412113799",黃大仙,黃大仙有個菩薩仔,-,顧世德、陶贊新、黎沅君,韋然,1982
,"22.31047794068723, 114.04671069098309",迪士尼樂園,他約我去迪士尼,畢生也願記起　香港迪士尼,KellyJackie,海藍、許願庭,2005
,"22.31603209216145, 114.17021372379114",信和,彌敦道,一經信和暴雨瀉,洪卓立,頡臣,2010
,"22.28164691953586, 114.18504569759652",百德新街,下一站天后,在百德新街的愛侶　面上有種顧盼自豪,Twins,黃偉文,2007
,"22.282437028589314, 114.19173268145333",天后,下一站天后,到天后 當然最好 ,Twins,黃偉文,2007
,"22.280619676674412, 114.18598023895105",大丸,下一站天后,站在大丸前 細心看看,Twins,黃偉文,2007
,"22.2782202757782, 114.18230382289975",時代廣場,下一站天后,在時代的廣場 誰都 總會有獎,Twins,黃偉文,2007
,"22.280663840256683, 114.1860646814665",大丸,黃昏點唱機,想約個對象喺大丸等,容祖兒,林若寧,2016
,"22.282225822516157, 114.18908218162574",維園,黃昏點唱機,喜愛漫遊 維園散步徑,容祖兒,林若寧,2016
,"22.23789254649096, 114.19520695429546",淺水灣,黃昏點唱機,陪我去沙灘 到淺水灣 ,容祖兒,林若寧,2016
,"22.291485150415, 113.9381654654404",東涌,東涌日和,東涌風景也尚算能獨有,Shine,陳少琪,2004
,"22.319648264082428, 114.17062282491987",旺角,東涌日和,從旺角直到樂富 轉眼衝出將軍澳,Shine,陳少琪,2004
,"22.337393387466577, 114.18668799430336",樂富,東涌日和,從旺角直到樂富 轉眼衝出將軍澳,Shine,陳少琪,2004
,"22.317067029282377, 114.26523694612015",將軍澳,東涌日和,從旺角直到樂富 轉眼衝出將軍澳,Shine,陳少琪,2004
,"22.2921085561004, 114.19935175872429",北角,學廣東話,住喺北角 喺旺角返工,黃明志,黃明志,2015
,"22.317111594514014, 114.16853190725736",旺角,學廣東話,住喺北角 喺旺角返工,黃明志,黃明志,2015
,"22.249117729017502, 114.15472098143321",香港仔,我愛香港仔,我愛香港仔人氣雖然唔夠池袋架勢,Boy'z,周耀輝,2004
,"22.27738749420353, 114.17216799622635",灣仔,我愛香港仔,有人鍾意灣仔有人迷戀香港仔,Boy'z,周耀輝,2004
,"22.28061444711324, 114.18684147443051",皇室堡,皇室堡主,皇室堡今晚很多勁人,Boy'z,林夕,2004
,"22.30134660163015, 114.18214384312981",紅館,眼紅館,寂寞便在紅館中一起呼喊,Boy'z,周耀輝,2004
,"22.354674467872726, 114.10914885336564",青衣島,青衣島,青衣島，世上無，雲片片，水滔滔。,譚炳文,,1971
,"22.303977976233348, 114.22878420488475",茶果嶺,追求三部曲,佢尊翁綽號包頂頸 屋企住喺茶果嶺,許冠傑,許冠傑、黎彼得,1976
,"22.28108280392571, 114.15551349358866",蘭桂坊,跟住去邊度,嚟到蘭桂坊 想去深水埗,黃子華,黃子華,1992
,"22.330066143994937, 114.16222627761248",深水埗,跟住去邊度,嚟到蘭桂坊 想去深水埗,黃子華,黃子華,1992
,"22.28817176018952, 114.28766631663301",清水灣,跟住去邊度,掟入大清水 然後石澳,黃子華,黃子華,1992
,"22.228633954949565, 114.2505039039709",石澳,跟住去邊度,掟入大清水 然後石澳,黃子華,黃子華,1992
,"22.54374141496222, 114.22632236105184",沙頭角,跟住去邊度,有冇去過沙頭角 或者掃桿埔,黃子華,黃子華,1992
,"22.274105809086443, 114.18955510227381",掃桿埔,跟住去邊度,有冇去過沙頭角 或者掃桿埔,黃子華,黃子華,1992
,"22.394804424909466, 114.10826472880437",大帽山,跟住去邊度,聽講大帽山飲早茶開好早,黃子華,黃子華,1992
,"22.28094658437438, 114.15557829068985",蘭桂坊,蘭桂坊的傾斜度,-,葉佩雯,李敏,1999
,"22.282497426201708, 114.15432137178409",擺花街,擺花街一號,想起擺花街一路陪你走,陳司翰,林夕,2001
,"22.388417527006656, 114.19126876183714",龍華酒店,龍華酒店,郊區避雨喜相逢　在龍華酒店,李龍基,韋然,2002
,"22.27620364246113, 114.17254011847393",喜帖街,囍帖街,-,謝安琪,黃偉文,2008
,"22.409791453822898, 113.97365324738686",青山醫院,青山黛瑪,留住半邊青山因你在,何韻詩,黃偉文,2008
,"22.2835159676713, 114.15414202076157",永和號,永和號,-,張繼聰,小克,2009
,"22.27584776119555, 114.12043363006694",摩星嶺,冇,為何又要將摩星嶺看得太高,李克勤,林若寧,2009
,"22.28244546582545, 114.19178243089755",天后站,天后站出發,夜 路過天后,鍾欣潼,陳少琪,2010
,"22.282036969663984, 114.18490768148563",百德新街,天后站出發,在百得新街是我一個在晚餐,鍾欣潼,陳少琪,2010
,"22.300878895967493, 114.18162983319321",紅館,紅館見,就算only in my dream　都可以紅館見,MC Jin,MC Jin,2012
,"22.32145280669429, 113.94361139338753",博覽館,紅館見,博覽館係適合　大型嘅表演,MC Jin,MC Jin,2012
,"22.29626905346676, 114.1700086672222",北京道,北京道落雪了,忽然初雪落北京道,林二汶,周耀輝,2012
,"22.28378078942703, 114.14418667874793",柏道,北京道落雪了,枯樹正望向柏道,林二汶,周耀輝,2012
,"22.32943303434856, 114.17323285087731",丹桂路,北京道落雪了,膠袋正飄向丹桂路,林二汶,周耀輝,2012
,"22.32109725387692, 114.17019947058591",通菜街,Get By,走出通菜街 因你想吃花殼蟹,王梓軒,周耀輝,2012
,"22.275339095730683, 114.17219582748177",囍帖街,Get By,走出囍帖街 我因你不怕新世界,王梓軒,周耀輝,2012
,"22.3069808150155, 114.23294490811787",藍田站,小明搭港鐵,去藍田或奧運,,,2012
,"22.31786631062602, 114.16017081715378",奧運站,小明搭港鐵,去藍田或奧運,,,
,"22.286578453068312, 114.15192437308973",上環站,小明搭港鐵,上環或美孚,,,
,"22.33756649882488, 114.13763305938267",美孚站,小明搭港鐵,上環或美孚,,,
,"22.339691222301, 114.17259694497122",歌和老街,歌和老街,-,王祖藍,鄭國江,2013
,"22.254048603166577, 113.86210021727427",大澳,大澳愛上威尼斯,,李安豪,,2014
,"22.27085446729519, 114.15801604569921",白加道,芬梨道上,橫行直闖 車閃過白加道旁,楊千嬅,林夕,2014
,"22.27434511755953, 114.14418662219512",山頂,芬梨道上,這山頂何其矜貴 怎可給停留一世,楊千嬅,林夕,2014
,"22.27466301757646, 114.17163982089755",灣仔,芬梨道上,回到現今 灣仔竟無法俯瞰,楊千嬅,林夕,2014
,"22.267628, 114.159177",施勳道,芬梨道上,施勳道上長留富貴浮雲,楊千嬅,林夕,2014
,"22.271037, 114.150264",凌霄閣,芬梨道上,凌霄閣不吸引 沿山腰觀景更狠,楊千嬅,林夕,2014
,"22.318997, 114.174697",勝利道,流淚行勝利道,流淚行勝利道 別再做愛情奴,許志安,周耀輝,2014
,"22.468887986285353, 113.98127621465697",流浮山,我在流浮山滴眼水,流浮山落日終要歸去,Serrini,Serrini,2014
,"22.28847519045703, 113.93982783037066",東涌,瞬間看地球,東涌一單位那白領 要覺悟了,RubberBand,RubberBand,2014
,"22.277660014072374, 114.16016727940473",紅棉路,紅棉路上,-,梁詠琪,林若寧,2016
,"22.284705417086535, 114.12918100154855",堅尼地城,堅彌地城,-,RubberBand,,2016
,"22.315022552578345, 114.2159682746508",偉業街,偉業街,-,胡鴻鈞,范浩賢,2018
,"22.28007650786925, 114.1651274396764",夏愨道,夏愨道,-,Boyz Reborn,,2019
,"22.31266282363788, 114.2239764146516",駿業里,哪裡只塞駿業里,插入去  便困在駿業里,游學修,試當真 梁栢堅,2020
,"22.313842312183326, 114.21755709626608",偉業街,哪裡只塞駿業里,轉入偉業發現無訂企 成條街 逼死,游學修,試當真 梁栢堅,2020
,"22.309354, 114.223389",鴻圖道,哪裡只塞駿業里,你老母 我忍夠  鴻圖道係荒謬,游學修,試當真 梁栢堅,2020
,"22.311291, 114.225727",觀塘廣場,哪裡只塞駿業里,胳肋底已經出汗  塞死哂觀廣,游學修,試當真 梁栢堅,2020
,"22.310912, 114.225767",成業街,哪裡只塞駿業里,你老母 我忍夠  轉錯成業之後,游學修,試當真 梁栢堅,2020
,"22.311749, 114.226225",觀塘,哪裡只塞駿業里,我們  點解要返官塘,游學修,試當真 梁栢堅,2020
,"22.446312, 114.035835",元朗,元朗夜,-,何景熙,何景熙,2020
,"22.442727, 114.034042",元朗,洗底,好似同元朗白杉夾一夾,阿李,阿李,2020
,"22.535228, 114.132861",新屋嶺,洗底,上頭命令我車去新屋嶺,阿李,阿李,2020
,"22.282082, 114.154707",石板街,doodoodoo,斑馬亦能跑到一片石板街,林家謙,林家謙,2022
,"22.363980, 114.113490",永順街39號,永順街39號,-,Anson Lo盧瀚霆,黃偉文,2022
,"22.444711, 114.176170",大埔,道路使用者的有型守則,入大埔嘅吐露嘅套路,Alton王智德,Alton王智德,2022
,"22.420977, 114.213396",吐露港公路,道路使用者的有型守則,入大埔嘅吐露嘅套路,Alton王智德,Alton王智德,2022
,"22.371136, 114.213556",大老山隧道,道路使用者的有型守則,係咪要經大老山隧道,Alton王智德,Alton王智德,2022
,"22.391532, 113.973974",屯門公園,西北鉄道物語,然後又到市鎮公園,薛德勇,阿達,2023
,"22.391527, 113.976730",屯門市中心,西北鉄道物語,市中心裡似歐美,薛德勇,阿達,2023
,"22.402899, 113.971392",大興,西北鉄道物語,就在大興的門外,薛德勇,阿達,2023
,"22.397445, 113.975331",屯門新墟,西北鉄道物語,十年後已轉了衣着 到新墟再次相約,薛德勇,阿達,2023
,"22.373045, 113.957196",蝴蝶灣,西北鉄道物語,蝴蝶灣燒雞尾腸,薛德勇,阿達,2023
,"22.386850, 113.973506",友愛,西北鉄道物語,這些光陰裡  每站 亦是友愛,薛德勇,阿達,2023
,"22.319092, 114.182844",常和街,再見常和街,-,Billy 李浚軒,Eddie Ho,2023
,"22.278452, 114.175381",灣仔,飲勝,灣仔當係秀茂坪 我腳步唔定,許冠傑,許冠傑、黎彼得 ,1978
,"22.320277, 114.231366",秀茂坪,飲勝,灣仔當係秀茂坪 我腳步唔定,許冠傑,許冠傑、黎彼得 ,1978
,"22.322170, 114.169594",旺角,係咁先啦,要平就要落 旺角轉小巴走,MC $oho & KidNey,蘇致豪 ,2021
,"22.315412, 114.170435",潮流特區,你是我的潮流特區,-,Boy'z,周耀輝,2004
,"22.316010, 114.170136",信和中心,信和忠心,-,Boy'z,許少榮,2004
,"22.292983, 114.168235",天星碼頭,夜幕天星,天星港灣海風伴美夢,C AllStar,簡/Oscar ,2015
,"22.279124, 114.184512",銅鑼灣,點點對點,銅鑼灣　OK似,顏培珊,黃浩然,2014
,"22.267979, 114.241891",柴灣,點點對點,而柴灣 爭啲啲,顏培珊,黃浩然,2014
,"22.546926, 114.221374",沙頭角,Good Time,你跟佢響旺角 兜到出沙頭角,Beyond,黃貫中,1999
,"22.322896, 114.184339",天光道,兜路,由天黑起 已塞塞塞塞塞塞塞到天光道,林一峰,林一峰,
,"22.367735, 114.111570",荃灣,兜路,荃灣一路 到深水埗,林一峰,林一峰,
,"22.330731, 114.154539",深水埗,兜路,荃灣一路 到深水埗,林一峰,林一峰,
,"22.271020, 114.186472",樂活道,時代,在樂活道上那一對伴侶,古巨基,林夕,2010
,"22.381221, 114.269790",西貢,出走半日到西貢,到西貢 唞唞氣 oh yay,林一峰,林一峰,
,"22.341347, 114.222847",飛鵝山,飛鵝山峰,-,林一峰,林一峰,
,"22.450533, 114.180626",大埔,紅河村,騎單車大埔奔向大尾篤,林一峰,林一峰,
,"22.467727, 114.234862",大尾篤,紅河村,騎單車大埔奔向大尾篤,林一峰,林一峰,
,"22.318994, 114.199323",啟德,紅河村,離家數百米之外 一個叫啟德的天堂,林一峰,林一峰,
,"22.349377, 114.200850",慈雲山,紅河村,在慈雲山的球場七號 相約尖沙咀海傍,林一峰,林一峰,
,"22.297889, 114.179220",尖沙咀海傍,紅河村,在慈雲山的球場七號 相約尖沙咀海傍,林一峰,林一峰,
,"22.296476, 114.177500",尖沙咀,這是我家,尖沙嘴散步　筲箕灣眺望,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.282855, 114.228106",筲箕灣,這是我家,尖沙嘴散步　筲箕灣眺望,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.456651, 114.142512",大埔,這是我家,大埔長洲樹向上,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.207697, 114.030659",長洲,這是我家,大埔長洲樹向上,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.339674, 114.187848",橫頭墈,這是我家,橫頭墈新區心向上,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.281556, 114.189603",維園,這是我家,維園自由唱,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.282270, 114.184074",銅鑼灣,這是我家,銅鑼灣世界 與中區對望,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.345948, 114.183869",獅子山,這是我家,紫荊花旁 獅山腳下,鍾鎮濤、區瑞強、張學友、張國榮,黃霑,1986
,"22.373923, 114.117984",荃灣站,當荃灣愛上柴灣,由荃灣 直入柴灣終站坐冷板,陳奕迅,Eric Kwok,1999
,"22.265046, 114.237469",柴灣站,當荃灣愛上柴灣,由荃灣 直入柴灣終站坐冷板,陳奕迅,Eric Kwok,1999
,"22.324052, 114.168484",太子站,當荃灣愛上柴灣,深深慨嘆能力只會能應付太子站,陳奕迅,Eric Kwok,1999
,"22.293361, 113.925876",赤蠟角,香港料理,過左兩日飛番赤蠟角,鄭少秋,因葵,1999
,"22.351445, 114.187517",獅子山,香港料理,遙望獅子山　世紀斑霸,鄭少秋,因葵,1999
,"22.280193, 114.184718",銅鑼灣站,不見即散,明明約左你三點鐘 係銅鑼灣地鐵站等,新青年理髮廳,新青年理髮廳,
,"22.308596, 114.222437",觀塘,不見即散,我把心一橫 由觀塘跑到銅鑼灣,新青年理髮廳,新青年理髮廳,
,"22.303874, 114.180119",香港理工大學,再見我的Poly,-,新青年理髮廳,新青年理髮廳,
,"22.281215, 114.159745",皇后像廣場,姐姐,皇后像歎氣 淚留兩臂,李克勤,陳詠謙,2012
,"22.283607, 114.156445",砵甸乍街,姐姐,誰料我路過砵甸乍街 竟找到你,李克勤,陳詠謙,2012
,"22.237988, 114.194698",淺水灣,五十路,兜一轉 淺水灣 經過 清水灣,李克勤,李克勤,2017
,"22.290499, 114.290283",清水灣,五十路,兜一轉 淺水灣 經過 清水灣,李克勤,李克勤,2017
,"22.307297, 114.290578",相思灣,五十路,走進 相思灣 沿路 故意地緩慢,李克勤,李克勤,2017
,"22.352616, 114.188098",獅子山,五十路,攀得過 獅子山 挑戰 畢架山,李克勤,李克勤,2017
,"22.350195, 114.172053",畢架山,五十路,攀得過 獅子山 挑戰 畢架山,李克勤,李克勤,2017
,"22.266344, 114.198584",渣甸山,五十路,兜返去 渣甸山 吻別 太浪漫,李克勤,李克勤,2017
,"22.319964, 114.170417",潮成園,潮成園牛丸粉,潮成園 18蚊就可以 食牛丸麵,新青年理髮廳,新青年理髮廳,
,"22.369099, 114.079746",汀九,小島,沿途汀九有雨燈光模糊呆坐嘆氣,鄧小巧,鄧小巧,2021
,"22.351118, 114.060814",馬灣,小島,看遠處馬灣剪影（吸口氣）,鄧小巧,鄧小巧,2021
,"22.275836, 114.168920",星街,叮叮車,星街中看見你天天都帶本小說同樣搭上車去,薛凱琪,林若寧 ,2009
,"22.282049, 114.190359",維園,下落不明,維園之中 那燭光下 那一臉憤慨 風化失去,達明一派,黃偉文,2003
,"22.301839, 114.181450",紅館,下落不明,紅館之中 滿天偶像 殞落在生活裡,達明一派,黃偉文,2003
,"22.323370, 114.203677",九展,柴灣角街,黎自新界 柴灣角街 目標衝去九展,TomFatKi,,
,"22.372979, 114.108244",柴灣角街,柴灣角街,由柴灣角街 trap 到新界,TomFatKi,,
,"22.458246, 114.003679",銀座,冰島,唔再坐係以前銀座左邊果間大七,TomFatKi,,
,"22.281776, 114.189962",維園,我哋大家,維園 點點燭光已經滿布,林海峰,林海峰,2014
,"22.300874, 114.182566",紅館,我哋大家,紅館 今晚最多人嘈,林海峰,林海峰,2014
,"22.320797, 114.171484",旺角,我哋大家,旺角亦要封路,林海峰,林海峰,2014
,"22.352437, 114.185932",獅子山,我哋大家,我哋大家 在獅子山遇上,林海峰,林海峰,2014
,"22.297188, 114.176310",尖沙咀,隨意門,出尖沙咀令人太累,陳奕迅,黃偉文,2002
,"22.323894, 114.167213",萬年大廈,從前以後,最後在萬年大廈門外 難得的跟你碰到,謝霆鋒,林夕,2005
,"22.325334, 114.172535",旺角花墟,太子之花,旺角盡處花墟內裡,李芷君,梁栢堅,2021
,"22.326511, 114.168075",界限街,太子之花,每月每日繼續繼續去 在界限街鞠躬盡瘁 ,李芷君,梁栢堅,2021
,"22.342026, 114.137868",荔園,好時光,如荔園可以再度長年開放,陳慧琳,林夕,2002
,"22.280653, 114.188387",維園,新聞女郎,提及那七一 維園的足跡逐寸鋪,梁漢文,林夕,2008
,"22.342928, 114.137080",荔園,八九十,廿載相戀 入荔園 人海裡 許願,衛蘭,小克‍,2014
,"22.276103, 114.168291",星街,半天空檔,路過星街 又會突然間想起你,洪嘉豪,陳詠謙,2018
,"22.280890, 114.155218",蘭桂坊,廢城故事,沒法推 痊癒了的美穗 跟她死黨迫到蘭桂坊一醉,梁漢文,林夕,2008
,"22.282520, 114.153743",擺花街,2月14的約會,重返擺花街 未踏破高踭鞋 你已經遷徙,林嘉欣,林若寧,2004
,"22.281480, 114.156689",中環娛樂行,小城大事,娛樂行的人影 還在繼續繁榮,楊千嬅,林夕,2015
,"22.283733, 114.149542",上環 ,浪漫是你的本性,我要帶你到上環 看那舊建築 ,AMK,AMK,
,"22.248545, 113.942815",大嶼山,浪漫是你的本性,我要帶你到大嶼山，嬉戲於山澗,AMK,AMK,
,"22.299165, 114.176917",尖東,灰人,鬱鬱寡歡落到尖東,周國賢,小克,2012
,"22.379355, 114.271380",西貢,灰人,愁眉深鎖深到入西貢,周國賢,小克,2012
,"22.375536, 114.107591",荃灣天橋底,九龍皇帝,由荃灣天橋底一直殺到落去尖東,MP4,楊振龍,2014
,"22.300503, 114.178055",尖東,九龍皇帝,由荃灣天橋底一直殺到落去尖東,MP4,楊振龍,2014
,"22.239238, 113.978319",貝澳,舊生會旅行,烏溪沙 與貝澳 轉換成 置業看舖,Shine,黃偉文,2004
,"22.433703, 114.238860",烏溪沙,舊生會旅行,烏溪沙 與貝澳 轉換成 置業看舖,Shine,黃偉文,2004
,"22.405417, 114.278025",西貢,香港製造,嚮西貢燒烤玩海鮮好盞,許冠傑,簡寧 ,1990
,"22.277791, 114.147067",山頂,香港製造,山頂散步風景靚,許冠傑,簡寧 ,1990
,"22.291749, 114.203139",北角,香港製造,嚮北角祇需幾秒到筲箕灣 ,許冠傑,簡寧 ,1990
,"22.280220, 114.226382",筲箕灣 ,香港製造,嚮北角祇需幾秒到筲箕灣 ,許冠傑,簡寧 ,1990
,"22.236525, 114.196932",淺水灣,香港製造,飛車去天空海闊嘅淺水灣,許冠傑,簡寧 ,1990
,"22.285953, 114.151126",江九記,香港製造,江九記燒鵝好正啫啫雞煲,許冠傑,簡寧 ,1990
,"22.297777, 114.177122",尖東,香港製造,拖呀 Ann 去尖東再蒲,許冠傑,簡寧 ,1990
,"22.294792, 114.171334",半島酒店,港九情,你 這知心侶伴 已被半島接管,張繼聰,小克,
,"22.282276, 114.189660",維園,港九情,維園可會念記,張繼聰,小克,
,"22.340791, 114.182575",廣播道,港九情,Oh 出信 廣播道 憑這歌一賭,張繼聰,小克,
,"22.289003, 114.182366",紅隧,港九情,在那個年歲 尚欠缺紅隧 唯有天星進退,張繼聰,小克,
,"22.293586, 114.167909",天星碼頭,港九情,在那個年歲 尚欠缺紅隧 唯有天星進退,張繼聰,小克,
,"22.343816, 114.182849",獅子山,Go Go飛龍,獅子山對下一樣好,林海峰,林海峰,
,"22.318008, 114.173944",太平道,太平道,-,周國賢,,
,"22.322329, 114.170519",花園街,花園街的流星,現在我跟你路過這街道旁 小販攤檔始終密佈,李克勤,,
,"22.281094, 114.182760",銅鑼灣,3:08pm銅鑼灣,-,容祖兒,,
,"22.295640, 114.173020",尖沙咀,雙城故事,內湖買的那一束紅玫瑰 比尖沙咀那一束更美,莫文蔚,李焯雄,
,"22.309446, 113.930068",香港國際機場,香港地,新機場唔再新 但喺呢度多咗一個島,陳冠希,,
,"22.490643, 114.140630",粉嶺站,下一站粉嶺,下一站 粉嶺 駁通電話講嘢,Lai Kei,,
,"22.442933, 114.033427",B仔涼粉,元朗與美孚嘅距離,從前你說要吃B仔涼粉,雙王蓮蓉,雙王蓮蓉,2019
,"22.334399, 114.139383",嶺南之風,元朗與美孚嘅距離,而你說要去嶺南之風,雙王蓮蓉,雙王蓮蓉,2019
,"22.445901, 114.035640",元朗站,元朗與美孚嘅距離,元朗與美孚嘅距離 唔止係兩個站嘅距離,雙王蓮蓉,雙王蓮蓉,2019
,"22.337573, 114.138339",美孚站,元朗與美孚嘅距離,元朗與美孚嘅距離 唔止係兩個站嘅距離,雙王蓮蓉,雙王蓮蓉,2019
,"22.324969, 114.165068",雷生春,深水埗,夜麻麻 陰陰沉沉 以前晚晚望住雷生春,"Novel Fergus, Geniuz F The Future",,
,"22.335541, 114.159121",龍威娛樂遊戲機中心,深水埗,Everything I don′t like 冇嘢做嘅就落龍威,"Novel Fergus, Geniuz F The Future",,
,"22.326813, 114.161701",深水埔公立醫局,深水埗,美沙酮診所嗰頭問你借廿蚊 見到就知係騙局,"Novel Fergus, Geniuz F The Future",,
,"22.331791, 114.028399",欣澳站,欣澳別戀,當初一早約好 留在A出口等候你,吳雨霏,林若寧,2014
,"22.291574, 114.198847",北角,北角之夢,夢 又在北角街道轉起 如果邂逅相識,蔡楓華,,1986
,"22.280498, 114.184786",東角道,東角遊民 (feat. Inspring),穿梭東角車輛已封行,羅啟聰 (K.I.S.),陳心遙,2015
,"22.278517, 114.182168",時代廣場,時代廣場,微微暖意在時代生,許志安,,
,"22.278048, 114.181388",時代廣場,時代廣場,來年一家幾口／假日同遊美食廣場,李克勤,,
,"22.281191, 114.184526",東角中心,東角駅,和你相約於東角駅見,陳詩慧,陳詩慧,
,"22.281004, 114.159924",皇后像公園,今夜星光燦爛,皇后像公園裡 光芒密佈積聚,達明一派,,
,"22.283179, 114.155392",皇后大道中,皇后大道東,皇后大道中人民如潮湧,羅大佑,林夕,
,"22.319134, 114.168143",旺角,皇后大道東,照買照賣樓花處處有單位 但是旺角可能要換換名字,羅大佑,林夕,
,"22.299214, 114.178490",尖東,It's My Party,尖東我的 灣仔我的 統統我的 統統我想的,達明一派,周耀輝,2012
,"22.278387, 114.168721",灣仔,It's My Party,尖東我的 灣仔我的 統統我的 統統我想的,達明一派,周耀輝,2012
,"22.281135, 114.163707",中區,It's My Party,中區我的 西區我的 統統我的 統統我想的,達明一派,周耀輝,2012
,"22.288405, 114.139318",西區,It's My Party,中區我的 西區我的 統統我的 統統我想的,達明一派,周耀輝,2012
,"22.282983, 114.168497",維港,目的地,維港的那邊 一吋吋 繼續填,黃耀明,黃偉文,2014
,"22.276496, 114.149033",太平山,浴血太平山,-,葉振棠,盧國沾/潘偉源,
,"22.297412, 114.174366",河內道,黃昏點唱機,跳舞跳到河內道,容祖兒,林若寧,2016
,"22.295575, 114.172312",彌敦道,黃昏點唱機,聖誕派對圍著聖誕燈飾 聯歡在 彌敦道,容祖兒,林若寧,2016
,"22.294734, 114.171856",半島酒店,黃昏點唱機,遊覽過百貨店舖 朝聖過氣派半島,容祖兒,林若寧,2016
,"22.278190, 114.165705",金鐘,黃昏點唱機,見證這個時代去到金鐘,容祖兒,林若寧,2016
,"22.283359, 114.162528",天星碼頭,黃昏點唱機,誰拆走天星(喜歡這個城),容祖兒,林若寧,2016
,"22.290516, 114.184751",維港,黃昏點唱機,維港會做證(都一直動聽),容祖兒,林若寧,2016
,"22.294899, 114.272583",日出康城,經歷,日出康城 好多保安 落來帶我上樓,Lai Kei,Lai Kei,2020
,"22.308384, 114.171343",彌敦道,彌敦道,彌敦道直落 埋邊諾士佛臺,Lai Kei,Lai Kei,2020
,"22.301156, 114.173802",諾士佛臺,彌敦道,彌敦道直落 埋邊諾士佛臺,Lai Kei,Lai Kei,2020
,"22.304379, 114.171581",佐敦站,彌敦道,依家佐敦站落來要幾耐,Lai Kei,Lai Kei,2020
,"22.294291, 114.169979",文化中心,彌敦道,TRAPPING IN 文化中心 我係文化中心,Lai Kei,Lai Kei,2020
,"22.295693, 114.168263",海港城,彌敦道,名牌紙袋 海港城 SHOPPING 出來,Lai Kei,Lai Kei,2020
,"22.311477, 114.173306",京士柏,Jik Hak Lai,草場係京士泊 鬼仔叫 Casper,Lai Kei,Lai Kei,2021
,"22.535773, 114.147536",北區,洪水北區到中環,洪水北區到中環,晴天林,晴天林,2023
,"22.262018, 114.235993",柴灣,洪水北區到中環,柴灣的士似小船,晴天林,晴天林,2023
,"22.295813, 114.181379",紅隧,巴士光年,咁又係既 紅隧邊有一日唔塞架？,吳林峰,T-Rexx ,2020
,"22.331617, 114.162311",黃金商場,喺呢到大,黃金賣翻版碟成間鋪放滿曬封面,PetPetShawn,PetPetShawn,2022
,"22.329139, 114.161637",基隆街,喺呢到大,9秒9基隆街過馬路行翻轉頭,PetPetShawn,PetPetShawn,2022
,"22.329749, 114.160795",北河街市政大廈,喺呢到大,北河街市政有異味 行入去秋田館話比個折你,PetPetShawn,PetPetShawn,2022
,"22.331331, 114.159500",西九龍中心,喺呢到大,有人喺西九龍跌死 專家話果啲網唔係For接你,PetPetShawn,PetPetShawn,2022
,"22.329843, 114.162428",鴨寮街,喺呢到大,轉天氣鴨寮街冇乜地攤 幾條嘢買到鞋買到件衫,PetPetShawn,PetPetShawn,2022
,"22.330421, 114.161270",合益泰,喺呢到大,合益泰行落去公和荳品 ,PetPetShawn,PetPetShawn,2022
,"22.331200, 114.163474",公和荳品 ,喺呢到大,合益泰行落去公和荳品 ,PetPetShawn,PetPetShawn,2022
,"22.327396, 114.163051",大南街,喺呢到大,大南街收電器搵南亞人,PetPetShawn,PetPetShawn,2022
,"22.334642, 114.167518",白田購物中心,只因當時太緊張,結果我與你去了足球場 / 然後再逛白購商場,My Little airport,,
,"22.293555, 114.169617",尖沙咀鐘樓,尖沙咀中留,學到 縱使鐘樓 已非鐘樓 從善若流,Karton Ma,詩詞 ,2017
,"22.293474, 114.169379",尖沙咀碼頭,尖沙咀中留,天星中 漠然滯留,Karton Ma,詩詞 ,2017
,"22.293940, 114.171871",太空館,尖沙咀中留,太空館出口 仍舊在合奏 演唱有你朋友,Karton Ma,詩詞 ,2017
,"22.293414, 114.170953",尖沙咀,尖沙咀中留,這天尖沙咀 齊集十萬對 恩愛美滿情侶,Karton Ma,詩詞 ,2017
,"22.332839, 114.163847",深水埗,深水。半山,讓我 深水處眺望半山裡興奮,Hazel Wong,Holly Eng,2017
,"22.274077, 114.159297",半山,深水。半山,讓我 深水處眺望半山裡興奮,Hazel Wong,Holly Eng,2017
,"22.371430, 114.178772",大圍,大圍,這個大圍 令你很著迷,陳一默,陳尖,2017
,"22.304584, 114.161829",圓方,緣坊,隨每層五行每元素 會否算到好壞,Alan Chio,Wendy Chung ,2017
