Time (HKT),Latitude,Longitude
Sun 07:24:41 AM,22.2288,114.339
Sun 07:24:59 AM,22.2231,114.3197
Sun 07:25:17 AM,22.231,114.3022
Sun 07:25:33 AM,22.2437,114.2934
Sun 07:25:52 AM,22.2594,114.2872
Sun 07:26:10 AM,22.2812,114.2853
Sun 07:26:27 AM,22.295,114.2925
Sun 07:26:45 AM,22.3039,114.3096
Sun 07:27:02 AM,22.3013,114.327
Sun 07:27:18 AM,22.291,114.3379
Sun 07:27:46 AM,22.2651,114.3484
Sun 07:28:08 AM,22.2433,114.3565
Sun 07:28:26 AM,22.2267,114.3572
Sun 07:28:42 AM,22.2123,114.3469
Sun 07:28:58 AM,22.2066,114.3316
Sun 07:29:15 AM,22.2096,114.3156
Sun 07:29:33 AM,22.2248,114.3022
Sun 07:30:00 AM,22.2519,114.2918
Sun 07:30:18 AM,22.2697,114.2899
Sun 07:30:35 AM,22.2853,114.2985
Sun 07:30:52 AM,22.2929,114.3144
Sun 07:31:10 AM,22.2871,114.3371
Sun 07:31:28 AM,22.2723,114.3474
Sun 07:31:50 AM,22.2481,114.3556
Sun 07:32:15 AM,22.2314,114.3725
Sun 07:32:31 AM,22.2221,114.3854
Sun 07:32:49 AM,22.2122,114.3995
Sun 07:33:21 AM,22.1943,114.4251
Sun 07:33:37 AM,22.185,114.4383
Sun 07:33:54 AM,22.1762,114.451
Sun 07:34:11 AM,22.1674,114.4659
Sun 07:34:28 AM,22.1689,114.4822
Sun 07:34:46 AM,22.1821,114.4933
Sun 07:35:07 AM,22.2024,114.4977
Sun 07:35:33 AM,22.2275,114.4998
Sun 07:35:54 AM,22.2471,114.4956
Sun 07:36:15 AM,22.255,114.4786
Sun 07:36:32 AM,22.2485,114.4631
Sun 07:36:48 AM,22.2369,114.458
Sun 07:37:15 AM,22.215,114.4693
Sun 07:37:45 AM,22.2007,114.4935
Sun 07:38:01 AM,22.195,114.5063
Sun 07:38:18 AM,22.1951,114.5221
Sun 07:38:35 AM,22.2067,114.532
Sun 07:38:52 AM,22.2219,114.5363
Sun 07:39:12 AM,22.238,114.5293
Sun 07:39:31 AM,22.2413,114.511
Sun 07:39:47 AM,22.2327,114.5006
Sun 07:40:07 AM,22.2163,114.5025
Sun 07:40:40 AM,22.2045,114.5308
Sun 07:41:10 AM,22.1962,114.5587
Sun 07:41:26 AM,22.1922,114.5725
Sun 07:41:44 AM,22.187,114.5903
Sun 07:42:01 AM,22.1834,114.6056
Sun 07:42:21 AM,22.1907,114.6214
Sun 07:42:37 AM,22.2048,114.6252
Sun 07:42:53 AM,22.2165,114.6169
Sun 07:43:18 AM,22.2243,114.595
Sun 07:43:35 AM,22.2292,114.5791
Sun 07:43:52 AM,22.2344,114.5627
Sun 07:44:11 AM,22.2372,114.5453
Sun 07:44:31 AM,22.2288,114.5288
Sun 07:44:48 AM,22.2155,114.5228
Sun 07:45:04 AM,22.203,114.5251
Sun 07:45:20 AM,22.189,114.5339
Sun 07:45:38 AM,22.1776,114.5429
Sun 07:45:56 AM,22.1718,114.5594
Sun 07:46:12 AM,22.1753,114.5744
Sun 07:46:32 AM,22.1889,114.5867
Sun 07:46:52 AM,22.2071,114.5871
Sun 07:47:12 AM,22.2216,114.5749
Sun 07:47:32 AM,22.2257,114.5568
Sun 07:47:52 AM,22.2182,114.5403
Sun 07:48:12 AM,22.2029,114.5331
Sun 07:48:31 AM,22.1876,114.5377
Sun 07:48:47 AM,22.1776,114.5496
Sun 07:49:03 AM,22.1706,114.562
Sun 07:49:25 AM,22.1608,114.5812
Sun 07:49:45 AM,22.162,114.5998
Sun 07:50:05 AM,22.1755,114.6116
Sun 07:50:25 AM,22.1938,114.6093
Sun 07:50:45 AM,22.2046,114.5946
Sun 07:51:05 AM,22.2027,114.576
Sun 07:51:22 AM,22.1926,114.5662
Sun 07:51:40 AM,22.177,114.5659
Sun 07:51:56 AM,22.1667,114.5749
Sun 07:52:26 AM,22.1633,114.6037
Sun 07:52:42 AM,22.1634,114.6196
Sun 07:53:02 AM,22.1679,114.6371
Sun 07:53:23 AM,22.1861,114.6435
Sun 07:53:39 AM,22.1968,114.6353
Sun 07:53:59 AM,22.2008,114.6173
Sun 07:54:19 AM,22.192,114.6007
Sun 07:54:37 AM,22.1782,114.5956
Sun 07:54:57 AM,22.1622,114.603
Sun 07:55:17 AM,22.1561,114.62
Sun 07:55:34 AM,22.1612,114.6355
Sun 07:55:52 AM,22.1738,114.6446
Sun 07:56:08 AM,22.1883,114.644
Sun 07:56:24 AM,22.2002,114.634
Sun 07:56:44 AM,22.2039,114.6154
Sun 07:57:04 AM,22.1951,114.5998
Sun 07:57:22 AM,22.1812,114.5951
Sun 07:57:41 AM,22.1666,114.6017
Sun 07:57:58 AM,22.1586,114.6153
Sun 07:58:16 AM,22.1509,114.6306
Sun 07:58:35 AM,22.1456,114.6472
Sun 07:58:55 AM,22.15,114.6656
Sun 07:59:15 AM,22.1639,114.6779
Sun 07:59:35 AM,22.1818,114.6797
Sun 07:59:53 AM,22.1969,114.6712
Sun 08:00:10 AM,22.205,114.6572
Sun 08:00:26 AM,22.2058,114.6417
Sun 08:00:46 AM,22.1955,114.6277
Sun 08:01:19 AM,22.1677,114.6305
Sun 08:01:35 AM,22.1536,114.6337
Sun 08:01:56 AM,22.1359,114.6402
Sun 08:02:12 AM,22.1259,114.6499
Sun 08:02:28 AM,22.1204,114.6627
Sun 08:02:45 AM,22.1222,114.6792
Sun 08:03:04 AM,22.1329,114.6932
Sun 08:03:24 AM,22.1508,114.6983
Sun 08:03:41 AM,22.1652,114.6929
Sun 08:03:59 AM,22.1753,114.6796
Sun 08:04:18 AM,22.177,114.6628
Sun 08:04:34 AM,22.1704,114.6483
Sun 08:04:54 AM,22.1561,114.6395
Sun 08:05:14 AM,22.1382,114.642
Sun 08:05:30 AM,22.1276,114.652
Sun 08:05:49 AM,22.123,114.6685
Sun 08:06:07 AM,22.1282,114.6855
Sun 08:06:26 AM,22.1412,114.6961
Sun 08:06:46 AM,22.1592,114.6926
Sun 08:07:07 AM,22.1657,114.6748
Sun 08:07:25 AM,22.1583,114.6601
Sun 08:07:41 AM,22.146,114.6567
Sun 08:08:08 AM,22.1235,114.6658
Sun 08:08:35 AM,22.103,114.678
Sun 08:08:52 AM,22.0986,114.6936
Sun 08:09:11 AM,22.1089,114.7067
Sun 08:09:30 AM,22.1246,114.7051
Sun 08:09:50 AM,22.1329,114.6879
Sun 08:10:06 AM,22.1265,114.6745
Sun 08:10:25 AM,22.1111,114.6711
Sun 08:10:41 AM,22.1009,114.6802
Sun 08:10:59 AM,22.0974,114.6974
Sun 08:11:16 AM,22.0975,114.714
Sun 08:11:33 AM,22.1073,114.7242
Sun 08:11:53 AM,22.1255,114.7205
Sun 08:12:13 AM,22.1315,114.7049
Sun 08:12:31 AM,22.1227,114.6897
Sun 08:12:48 AM,22.1092,114.6883
Sun 08:13:04 AM,22.0992,114.6991
Sun 08:13:20 AM,22.0998,114.7133
Sun 08:13:48 AM,22.1119,114.7381
Sun 08:14:05 AM,22.1196,114.7528
Sun 08:14:24 AM,22.1304,114.7653
Sun 08:14:44 AM,22.1488,114.7626
Sun 08:15:01 AM,22.1554,114.749
Sun 08:15:19 AM,22.1496,114.7335
Sun 08:15:41 AM,22.1333,114.7238
Sun 08:16:06 AM,22.1132,114.7119
Sun 08:16:23 AM,22.1062,114.6974
Sun 08:16:56 AM,22.1049,114.6632
Sun 08:17:13 AM,22.1044,114.6434
Sun 08:17:30 AM,22.1039,114.6252
Sun 08:17:47 AM,22.1033,114.6041
Sun 08:18:06 AM,22.1027,114.5816
Sun 08:18:22 AM,22.1023,114.5623
Sun 08:18:38 AM,22.1018,114.5452
Sun 08:18:56 AM,22.1011,114.5235
Sun 08:19:12 AM,22.1004,114.5048
Sun 08:19:28 AM,22.0998,114.4858
Sun 08:20:00 AM,22.0986,114.4482
Sun 08:20:16 AM,22.098,114.4296
Sun 08:20:32 AM,22.0974,114.4093
Sun 08:21:02 AM,22.0981,114.3751
Sun 08:21:19 AM,22.0985,114.355
Sun 08:21:36 AM,22.099,114.3335
Sun 08:21:52 AM,22.0995,114.315
Sun 08:22:22 AM,22.1004,114.2771
Sun 08:22:52 AM,22.1013,114.2403
Sun 08:23:22 AM,22.1022,114.2031
Sun 08:23:40 AM,22.1025,114.1796
Sun 08:24:11 AM,22.103,114.1398
Sun 08:24:41 AM,22.1033,114.1054
Sun 08:25:12 AM,22.1039,114.0655
Sun 08:25:42 AM,22.1043,114.0284
Sun 08:26:02 AM,22.1046,114.0036
Sun 08:26:22 AM,22.1048,113.9787
Sun 08:26:41 AM,22.1051,113.9554
Sun 08:27:02 AM,22.1054,113.9293
Sun 08:27:21 AM,22.1056,113.9069
Sun 08:27:42 AM,22.1059,113.8812
Sun 08:28:01 AM,22.1062,113.8568
Sun 08:28:31 AM,22.1066,113.8201
Sun 08:28:47 AM,22.1069,113.8017
Sun 08:29:05 AM,22.1116,113.7825
Sun 08:29:21 AM,22.1236,113.7688
Sun 08:29:42 AM,22.1421,113.7586
Sun 08:30:12 AM,22.1682,113.7454
Sun 08:30:32 AM,22.1842,113.7375
Sun 08:30:50 AM,22.2004,113.7352
Sun 08:31:23 AM,22.2271,113.7471
Sun 08:31:41 AM,22.2412,113.7555
Sun 08:32:02 AM,22.2535,113.7707
Sun 08:32:21 AM,22.2602,113.787
Sun 08:32:53 AM,22.2691,113.8141
Sun 08:33:10 AM,22.2732,113.8268
Sun 08:33:32 AM,22.2788,113.8442
Sun 08:33:49 AM,22.282,113.8539
Sun 08:34:05 AM,22.2854,113.8645
Sun 08:34:25 AM,22.2894,113.8771
Sun 08:34:41 AM,22.2928,113.8875
Sun 08:34:57 AM,22.2962,113.898
Sun 08:35:17 AM,22.307,113.9326
Sun 08:36:16 AM    Arrival (HKG / VHHH) @ Sunday 08:36:16 AM HKT,,
